44.911785 , 0.081863  
68.496292 , 0.474938  
70.113388 , 0.501890  
52.418350 , 0.206973  
56.129074 , 0.268818  
66.208862 , 0.436814  
74.960144 , 0.582669  
92.364571 , 0.872743  
68.858780 , 0.480980  
90.040375 , 0.834006  
70.841438 , 0.514024  
63.260506 , 0.387675  
41.476521 , 0.024609  
61.454033 , 0.357567  
64.137405 , 0.402290  
40.837734 , 0.013962  
52.474056 , 0.207901  
88.288162 , 0.804803  
96.444244 , 0.940737  
79.553986 , 0.659233  
86.501534 , 0.775026  
46.580811 , 0.109680  
70.724426 , 0.512074  
96.263428 , 0.937724  
72.966591 , 0.549443  
62.711494 , 0.378525  
95.854889 , 0.930915  
63.307716 , 0.388462  
47.074512 , 0.117909  
95.386078 , 0.923101  
48.507435 , 0.141791  
51.986298 , 0.199772  
63.882381 , 0.398040  
78.620819 , 0.643680  
64.404648 , 0.406744  
80.011459 , 0.666858  
44.829681 , 0.080495  
99.364792 , 0.989413  
72.376030 , 0.539601  
73.688461 , 0.561474  
89.405174 , 0.823420  
43.217468 , 0.053624  
96.948967 , 0.949149  
90.881699 , 0.848028  
64.671494 , 0.411192  
61.086369 , 0.351440  
91.719429 , 0.861991  
77.145554 , 0.619093  
49.374531 , 0.156242  
88.163666 , 0.802728  
